:START_ID,:END_ID,:TYPE
002064,10000032,belong_to
002064,10000078,belong_to
002080,10000007,belong_to
002080,10000097,belong_to
002080,10000098,belong_to
002080,10000014,belong_to
002172,10000099,belong_to
002172,10000035,belong_to
002172,10000000,belong_to
002206,10000007,belong_to
002206,10000001,belong_to
002254,10000093,belong_to
002254,10000092,belong_to
002254,10000021,belong_to
002254,10000023,belong_to
002254,10000032,belong_to
002254,10000050,belong_to
002427,10000007,belong_to
002427,10000023,belong_to
002427,10000002,belong_to
002493,10000005,belong_to
002493,10000010,belong_to
002493,10000002,belong_to
300180,10000016,belong_to
600031,10000037,belong_to
600031,10000004,belong_to
600031,10000021,belong_to
600031,10000076,belong_to
600031,10000000,belong_to
600031,10000100,belong_to
600031,10000087,belong_to
600031,10000013,belong_to
600114,10000101,belong_to
600114,10000052,belong_to
600114,10000000,belong_to
600114,10000032,belong_to
600149,10000004,belong_to
600149,10000090,belong_to
600149,10000102,belong_to
600149,10000095,belong_to
600149,10000026,belong_to
600169,10000038,belong_to
600169,10000004,belong_to
600169,10000083,belong_to
600169,10000061,belong_to
600169,10000103,belong_to
600218,10000075,belong_to
600218,10000004,belong_to
600218,10000076,belong_to
600243,10000033,belong_to
600262,10000021,belong_to
600262,10000104,belong_to
600320,10000019,belong_to
600320,10000017,belong_to
600320,10000103,belong_to
600346,10000093,belong_to
600346,10000035,belong_to
600346,10000074,belong_to
600346,10000094,belong_to
600388,10000065,belong_to
600388,10000008,belong_to
600388,10000067,belong_to
600388,10000000,belong_to
600388,10000064,belong_to
600421,10000079,belong_to
600435,10000004,belong_to
600435,10000021,belong_to
600435,10000027,belong_to
600475,10000066,belong_to
600475,10000040,belong_to
600475,10000008,belong_to
600475,10000067,belong_to
600475,10000063,belong_to
600475,10000105,belong_to
600475,10000068,belong_to
600475,10000106,belong_to
600475,10000026,belong_to
600499,10000007,belong_to
600499,10000065,belong_to
600499,10000080,belong_to
600499,10000067,belong_to
600499,10000000,belong_to
600520,10000075,belong_to
600520,10000009,belong_to
600526,10000065,belong_to
600526,10000008,belong_to
600526,10000060,belong_to
600526,10000032,belong_to
600579,10000096,belong_to
600582,10000018,belong_to
600582,10000004,belong_to
600582,10000107,belong_to
600582,10000027,belong_to
600582,10000000,belong_to
600592,10000021,belong_to
600592,10000005,belong_to
600592,10000061,belong_to
600592,10000033,belong_to
600592,10000026,belong_to
600592,10000064,belong_to
600592,10000002,belong_to
600619,10000019,belong_to
600619,10000017,belong_to
600619,10000108,belong_to
600619,10000057,belong_to
600710,10000016,belong_to
600710,10000009,belong_to
600761,10000075,belong_to
600765,10000097,belong_to
600765,10000021,belong_to
600765,10000030,belong_to
600765,10000061,belong_to
600765,10000023,belong_to
600765,10000032,belong_to
600806,10000077,belong_to
600806,10000030,belong_to
600806,10000009,belong_to
600806,10000033,belong_to
600806,10000105,belong_to
600815,10000004,belong_to
600815,10000026,belong_to
600815,10000064,belong_to
600841,10000019,belong_to
600841,10000017,belong_to
600841,10000057,belong_to
600855,10000018,belong_to
600855,10000037,belong_to
600855,10000021,belong_to
600855,10000005,belong_to
600855,10000008,belong_to
600855,10000044,belong_to
600855,10000023,belong_to
600855,10000046,belong_to
600860,10000077,belong_to
600984,10000016,belong_to
600984,10000109,belong_to
600984,10000104,belong_to
600984,10000094,belong_to
601002,10000004,belong_to
601002,10000096,belong_to
601002,10000027,belong_to
601002,10000061,belong_to
601038,10000004,belong_to
601038,10000077,belong_to
601038,10000005,belong_to
601106,10000025,belong_to
601106,10000083,belong_to
601218,10000097,belong_to
601218,10000098,belong_to
601268,10000035,belong_to
601369,10000025,belong_to
601369,10000034,belong_to
601608,10000004,belong_to
601608,10000108,belong_to
601608,10000083,belong_to
601608,10000008,belong_to
601608,10000105,belong_to
601717,10000004,belong_to
601717,10000077,belong_to
601798,10000109,belong_to
601798,10000011,belong_to
603169,10000025,belong_to
603308,10000025,belong_to
603338,10000023,belong_to
603699,10000025,belong_to
000039,10000110,belong_to
000039,10000085,belong_to
000039,10000038,belong_to
000039,10000004,belong_to
000039,10000077,belong_to
000039,10000086,belong_to
000039,10000005,belong_to
000039,10000111,belong_to
000039,10000103,belong_to
000039,10000000,belong_to
000039,10000026,belong_to
000039,10000013,belong_to
000157,10000037,belong_to
000157,10000004,belong_to
000157,10000077,belong_to
000157,10000012,belong_to
000157,10000000,belong_to
000157,10000087,belong_to
000404,10000108,belong_to
000404,10000008,belong_to
000404,10000032,belong_to
000410,10000033,belong_to
000410,10000034,belong_to
000410,10000074,belong_to
000410,10000002,belong_to
000425,10000065,belong_to
000425,10000066,belong_to
000425,10000004,belong_to
000425,10000021,belong_to
000425,10000060,belong_to
000519,10000021,belong_to
000519,10000016,belong_to
000519,10000035,belong_to
000519,10000081,belong_to
000519,10000023,belong_to
000528,10000004,belong_to
000528,10000083,belong_to
000530,10000070,belong_to
000530,10000019,belong_to
000530,10000005,belong_to
000530,10000108,belong_to
000530,10000026,belong_to
000530,10000074,belong_to
000551,10000065,belong_to
000551,10000038,belong_to
000551,10000040,belong_to
000551,10000005,belong_to
000551,10000027,belong_to
000551,10000008,belong_to
000551,10000112,belong_to
000551,10000026,belong_to
000570,10000019,belong_to
000570,10000040,belong_to
000570,10000005,belong_to
000570,10000026,belong_to
000595,10000021,belong_to
000595,10000109,belong_to
000595,10000061,belong_to
000617,10000016,belong_to
000617,10000035,belong_to
000617,10000009,belong_to
000678,10000026,belong_to
000777,10000025,belong_to
000777,10000037,belong_to
000777,10000021,belong_to
000777,10000040,belong_to
000777,10000011,belong_to
000777,10000014,belong_to
000811,10000108,belong_to
000811,10000072,belong_to
000811,10000008,belong_to
000811,10000050,belong_to
000816,10000040,belong_to
000816,10000001,belong_to
000821,10000005,belong_to
000821,10000027,belong_to
000821,10000026,belong_to
000837,10000037,belong_to
000837,10000109,belong_to
000837,10000033,belong_to
000837,10000034,belong_to
000852,10000011,belong_to
000852,10000079,belong_to
000852,10000103,belong_to
000852,10000113,belong_to
000856,10000090,belong_to
000856,10000095,belong_to
000856,10000009,belong_to
000880,10000050,belong_to
000903,10000008,belong_to
000903,10000032,belong_to
000923,10000090,belong_to
000923,10000095,belong_to
000923,10000029,belong_to
000925,10000065,belong_to
000925,10000061,belong_to
000925,10000060,belong_to
000925,10000000,belong_to
000925,10000002,belong_to
002006,10000093,belong_to
002006,10000114,belong_to
002006,10000016,belong_to
002006,10000042,belong_to
002006,10000043,belong_to
002006,10000115,belong_to
002006,10000014,belong_to
002009,10000097,belong_to
002009,10000027,belong_to
002009,10000033,belong_to
002009,10000067,belong_to
002009,10000068,belong_to
002009,10000032,belong_to
002009,10000098,belong_to
002009,10000034,belong_to
002009,10000014,belong_to
002011,10000025,belong_to
002011,10000114,belong_to
002011,10000108,belong_to
002011,10000061,belong_to
002011,10000067,belong_to
002011,10000105,belong_to
002011,10000000,belong_to
002026,10000029,belong_to
002046,10000037,belong_to
002046,10000021,belong_to
002046,10000016,belong_to
002046,10000061,belong_to
002046,10000023,belong_to
002050,10000042,belong_to
002097,10000021,belong_to
002097,10000023,belong_to
002097,10000032,belong_to
002097,10000034,belong_to
002097,10000087,belong_to
002101,10000038,belong_to
002101,10000052,belong_to
002101,10000016,belong_to
002122,10000097,belong_to
002122,10000061,belong_to
002122,10000098,belong_to
002122,10000034,belong_to
002122,10000002,belong_to
002131,10000020,belong_to
002131,10000016,belong_to
002131,10000027,belong_to
002131,10000116,belong_to
002131,10000117,belong_to
002147,10000075,belong_to
002147,10000016,belong_to
002147,10000005,belong_to
002147,10000033,belong_to
002147,10000023,belong_to
002147,10000000,belong_to
002147,10000088,belong_to
002147,10000034,belong_to
002147,10000002,belong_to
002158,10000108,belong_to
002158,10000033,belong_to
002204,10000005,belong_to
002204,10000002,belong_to
002209,10000034,belong_to
002209,10000002,belong_to
002248,10000025,belong_to
002248,10000016,belong_to
002248,10000042,belong_to
002248,10000061,belong_to
002248,10000033,belong_to
002255,10000025,belong_to
002255,10000066,belong_to
002255,10000080,belong_to
002255,10000040,belong_to
002255,10000027,belong_to
002255,10000008,belong_to
002255,10000067,belong_to
002255,10000060,belong_to
002255,10000000,belong_to
002270,10000016,belong_to
002270,10000033,belong_to
002270,10000050,belong_to
002270,10000034,belong_to
002272,10000002,belong_to
002278,10000011,belong_to
002278,10000103,belong_to
002278,10000113,belong_to
002282,10000095,belong_to
002282,10000061,belong_to
002328,10000023,belong_to
002328,10000001,belong_to
002328,10000002,belong_to
002337,10000000,belong_to
002337,10000032,belong_to
002342,10000021,belong_to
002342,10000076,belong_to
002342,10000090,belong_to
002342,10000095,belong_to
002342,10000103,belong_to
002342,10000023,belong_to
002347,10000075,belong_to
002353,10000010,belong_to
002353,10000011,belong_to
002353,10000103,belong_to
002353,10000032,belong_to
002353,10000050,belong_to
002353,10000113,belong_to
002366,10000025,belong_to
002366,10000008,belong_to
002366,10000081,belong_to
002366,10000105,belong_to
002366,10000006,belong_to
002413,10000021,belong_to
002413,10000108,belong_to
002413,10000023,belong_to
002418,10000020,belong_to
002418,10000005,belong_to
002418,10000001,belong_to
002418,10000088,belong_to
002418,10000002,belong_to
002430,10000076,belong_to
002430,10000083,belong_to
002435,10000016,belong_to
002438,10000025,belong_to
002438,10000023,belong_to
002444,10000118,belong_to
002444,10000119,belong_to
002444,10000005,belong_to
002444,10000011,belong_to
002444,10000044,belong_to
002444,10000032,belong_to
002445,10000076,belong_to
002445,10000103,belong_to
002459,10000001,belong_to
002472,10000120,belong_to
002480,10000120,belong_to
002480,10000061,belong_to
002480,10000081,belong_to
002483,10000120,belong_to
002483,10000027,belong_to
002483,10000060,belong_to
002483,10000103,belong_to
002483,10000032,belong_to
002490,10000077,belong_to
002490,10000011,belong_to
002490,10000103,belong_to
002490,10000050,belong_to
002499,10000065,belong_to
002499,10000008,belong_to
002499,10000105,belong_to
002499,10000002,belong_to
002509,10000016,belong_to
002509,10000032,belong_to
002509,10000064,belong_to
002514,10000002,belong_to
002520,10000021,belong_to
002520,10000033,belong_to
002520,10000049,belong_to
002520,10000023,belong_to
002520,10000034,belong_to
002520,10000002,belong_to
002523,10000032,belong_to
002523,10000087,belong_to
002526,10000005,belong_to
002526,10000030,belong_to
002526,10000050,belong_to
002526,10000002,belong_to
002529,10000030,belong_to
002529,10000008,belong_to
002529,10000064,belong_to
002529,10000002,belong_to
002530,10000016,belong_to
002532,10000116,belong_to
002534,10000025,belong_to
002535,10000011,belong_to
002535,10000044,belong_to
002535,10000000,belong_to
002537,10000121,belong_to
002537,10000016,belong_to
002537,10000072,belong_to
002537,10000051,belong_to
002537,10000073,belong_to
002537,10000000,belong_to
002537,10000050,belong_to
002552,10000020,belong_to
002552,10000023,belong_to
002552,10000002,belong_to
002559,10000033,belong_to
002559,10000029,belong_to
002559,10000034,belong_to
002564,10000025,belong_to
002564,10000021,belong_to
002564,10000023,belong_to
002591,10000027,belong_to
002591,10000008,belong_to
002591,10000000,belong_to
002595,10000080,belong_to
002595,10000052,belong_to
002595,10000076,belong_to
002595,10000033,belong_to
002595,10000032,belong_to
002595,10000050,belong_to
002598,10000050,belong_to
002611,10000008,belong_to
002611,10000023,belong_to
002611,10000000,belong_to
002613,10000042,belong_to
002613,10000008,belong_to
002621,10000072,belong_to
002621,10000073,belong_to
002630,10000008,belong_to
002630,10000081,belong_to
002630,10000063,belong_to
002630,10000053,belong_to
002630,10000068,belong_to
002630,10000122,belong_to
002633,10000094,belong_to
002639,10000058,belong_to
002639,10000064,belong_to
002645,10000066,belong_to
002645,10000016,belong_to
002645,10000008,belong_to
002645,10000068,belong_to
002651,10000021,belong_to
002651,10000081,belong_to
002651,10000023,belong_to
002680,10000123,belong_to
002680,10000124,belong_to
002680,10000002,belong_to
002686,10000016,belong_to
002690,10000030,belong_to
002690,10000125,belong_to
002691,10000090,belong_to
002691,10000095,belong_to
002698,10000120,belong_to
002698,10000030,belong_to
002698,10000033,belong_to
002698,10000034,belong_to
300023,10000109,belong_to
300023,10000033,belong_to
300023,10000103,belong_to
300023,10000034,belong_to
300024,10000021,belong_to
300024,10000030,belong_to
300024,10000027,belong_to
300024,10000061,belong_to
300024,10000033,belong_to
300024,10000117,belong_to
300024,10000034,belong_to
300035,10000007,belong_to
300035,10000093,belong_to
300035,10000027,belong_to
300035,10000053,belong_to
300035,10000105,belong_to
300035,10000032,belong_to
300035,10000087,belong_to
300056,10000065,belong_to
300056,10000008,belong_to
300056,10000032,belong_to
300056,10000064,belong_to
300090,10000075,belong_to
300090,10000065,belong_to
300090,10000066,belong_to
300090,10000063,belong_to
300090,10000068,belong_to
300090,10000106,belong_to
300091,10000063,belong_to
300091,10000023,belong_to
300092,10000025,belong_to
300092,10000021,belong_to
300092,10000081,belong_to
300095,10000093,belong_to
300095,10000097,belong_to
300095,10000021,belong_to
300095,10000042,belong_to
300095,10000027,belong_to
300095,10000061,belong_to
300095,10000000,belong_to
300103,10000109,belong_to
300103,10000023,belong_to
300103,10000032,belong_to
300103,10000104,belong_to
300116,10000007,belong_to
300116,10000120,belong_to
300116,10000109,belong_to
300116,10000000,belong_to
300126,10000027,belong_to
300126,10000000,belong_to
300145,10000008,belong_to
300145,10000060,belong_to
300145,10000111,belong_to
300145,10000116,belong_to
300145,10000000,belong_to
300151,10000126,belong_to
300152,10000065,belong_to
300152,10000008,belong_to
300152,10000063,belong_to
300152,10000060,belong_to
300152,10000105,belong_to
300152,10000068,belong_to
300152,10000000,belong_to
300159,10000021,belong_to
300159,10000016,belong_to
300159,10000023,belong_to
300161,10000030,belong_to
300161,10000033,belong_to
300161,10000028,belong_to
300161,10000079,belong_to
300161,10000034,belong_to
300161,10000002,belong_to
300185,10000025,belong_to
300185,10000021,belong_to
300185,10000023,belong_to
300185,10000050,belong_to
300185,10000002,belong_to
300193,10000033,belong_to
300193,10000034,belong_to
300195,10000033,belong_to
300195,10000000,belong_to
300195,10000034,belong_to
300201,10000021,belong_to
300201,10000033,belong_to
300201,10000000,belong_to
300201,10000034,belong_to
300201,10000002,belong_to
300210,10000030,belong_to
300210,10000027,belong_to
300210,10000023,belong_to
300228,10000058,belong_to
300228,10000127,belong_to
300228,10000011,belong_to
300228,10000000,belong_to
300228,10000032,belong_to
300249,10000065,belong_to
300249,10000008,belong_to
300249,10000081,belong_to
300249,10000105,belong_to
300257,10000108,belong_to
300257,10000008,belong_to
300257,10000105,belong_to
300257,10000023,belong_to
300260,10000070,belong_to
300260,10000002,belong_to
300263,10000108,belong_to
300263,10000008,belong_to
300263,10000060,belong_to
300263,10000105,belong_to
300263,10000023,belong_to
300263,10000000,belong_to
300263,10000032,belong_to
300263,10000122,belong_to
300266,10000128,belong_to
300266,10000008,belong_to
300266,10000060,belong_to
300272,10000008,belong_to
300272,10000000,belong_to
300272,10000129,belong_to
300276,10000033,belong_to
300276,10000034,belong_to
300278,10000021,belong_to
300278,10000016,belong_to
300278,10000034,belong_to
300280,10000016,belong_to
300280,10000034,belong_to
300280,10000002,belong_to
300281,10000021,belong_to
300281,10000023,belong_to
300293,10000008,belong_to
300293,10000033,belong_to
300293,10000034,belong_to
300307,10000033,belong_to
300307,10000034,belong_to
300308,10000050,belong_to
300309,10000120,belong_to
300309,10000016,belong_to
300309,10000083,belong_to
300309,10000011,belong_to
300309,10000113,belong_to
300316,10000114,belong_to
300316,10000115,belong_to
300316,10000002,belong_to
300334,10000016,belong_to
300334,10000008,belong_to
300334,10000060,belong_to
300334,10000028,belong_to
300334,10000111,belong_to
300362,10000060,belong_to
300385,10000065,belong_to
300385,10000066,belong_to
300391,10000042,belong_to
300402,10000021,belong_to
300411,10000025,belong_to
300411,10000021,belong_to
300411,10000016,belong_to
300411,10000061,belong_to
300420,10000130,belong_to
300425,10000060,belong_to
300427,10000021,belong_to
300427,10000061,belong_to
300427,10000023,belong_to
300434,10000016,belong_to
300441,10000016,belong_to
300443,10000097,belong_to
600062,10000004,belong_to
600062,10000076,belong_to
600062,10000016,belong_to
600062,10000123,belong_to
600062,10000012,belong_to
